Athlete;Annual;Monthly;Weekly;Daily
Lionel Messi;81400000;6783333;1565384;223013
Zlatan Ibrahimovic;37400000;3116666;719230;102465
Cristiano Ronaldo;88000000;7333333;1692307;241095
Francesco Totti;2825000;235417;54327;7740
Paul Pogba;21730769;1810897;417899;59536
Andres Iniesta;24295000;2024583;467212;66562
Lewis Hamilton;46000000;3833333;884615;126027
Tiger Woods;45500000;3791666;875000;124657
Michael Phelps;12000000;1000000;230769;32876
Roger Federer;67800000;5650000;1303846;185753
LeBron James;77200000;6433333;1484615;211506
Maria Sharapova;21900000;1825000;421153;60000
